ts,day,hour,sampled_at,window_start,window_end,getoond,bekeken,bewaard,ctr,save_rate,source
2026-08-11T09:00:00+02:00,2026-08-11,09:00,2026-08-11T08:50:00+02:00,,2026-08-11T08:50:00+02:00,500,100,3,0.2,0.03,vault-note
2026-08-11T10:00:00+02:00,2026-08-11,10:00,2026-08-11T09:50:00+02:00,2026-08-11T08:50:00+02:00,2026-08-11T09:50:00+02:00,1054,196,7,0.185958,0.035714,vault-note
2026-08-11T11:00:00+02:00,2026-08-11,11:00,2026-08-11T10:50:00+02:00,2026-08-11T09:50:00+02:00,2026-08-11T10:50:00+02:00,1548,281,9,0.181525,0.032028,vault-note
2026-08-11T12:00:00+02:00,2026-08-11,12:00,2026-08-11T11:50:00+02:00,2026-08-11T10:50:00+02:00,2026-08-11T11:50:00+02:00,1980,351,9,0.177273,0.025641,vault-note
2026-08-11T13:00:00+02:00,2026-08-11,13:00,2026-08-11T12:50:00+02:00,2026-08-11T11:50:00+02:00,2026-08-11T12:50:00+02:00,2297,390,11,0.169787,0.028205,vault-note
2026-08-11T14:00:00+02:00,2026-08-11,14:00,2026-08-11T13:50:00+02:00,2026-08-11T12:50:00+02:00,2026-08-11T13:50:00+02:00,2630,431,14,0.163878,0.032483,vault-note
2026-08-11T15:00:00+02:00,2026-08-11,15:00,2026-08-11T14:50:00+02:00,2026-08-11T13:50:00+02:00,2026-08-11T14:50:00+02:00,2918,473,15,0.162097,0.031712,vault-note
2026-08-11T16:00:00+02:00,2026-08-11,16:00,2026-08-11T15:50:00+02:00,2026-08-11T14:50:00+02:00,2026-08-11T15:50:00+02:00,3163,506,16,0.159975,0.031621,vault-note
2026-08-11T17:00:00+02:00,2026-08-11,17:00,2026-08-11T16:50:00+02:00,2026-08-11T15:50:00+02:00,2026-08-11T16:50:00+02:00,3393,531,16,0.156499,0.030132,vault-note
2026-08-11T18:00:00+02:00,2026-08-11,18:00,2026-08-11T17:50:00+02:00,2026-08-11T16:50:00+02:00,2026-08-11T17:50:00+02:00,3648,556,16,0.152412,0.028777,vault-note
2026-08-11T19:00:00+02:00,2026-08-11,19:00,2026-08-11T18:50:00+02:00,2026-08-11T17:50:00+02:00,2026-08-11T18:50:00+02:00,3894,589,18,0.151258,0.03056,vault-note
2026-08-11T20:00:00+02:00,2026-08-11,20:00,2026-08-11T19:50:00+02:00,2026-08-11T18:50:00+02:00,2026-08-11T19:50:00+02:00,4111,622,18,0.151301,0.028939,vault-note
2026-08-11T21:00:00+02:00,2026-08-11,21:00,2026-08-11T20:50:00+02:00,2026-08-11T19:50:00+02:00,2026-08-11T20:50:00+02:00,4348,652,18,0.149954,0.027607,vault-note
2026-08-11T22:00:00+02:00,2026-08-11,22:00,2026-08-11T21:50:00+02:00,2026-08-11T20:50:00+02:00,2026-08-11T21:50:00+02:00,4628,681,19,0.147148,0.0279,vault-note
2026-08-11T23:00:00+02:00,2026-08-11,23:00,2026-08-11T22:50:00+02:00,2026-08-11T21:50:00+02:00,2026-08-11T22:50:00+02:00,4861,717,19,0.147501,0.026499,vault-note
2026-08-12T00:00:00+02:00,2026-08-12,00:00,2026-08-11T23:50:03+02:00,2026-08-11T22:50:00+02:00,2026-08-11T23:50:03+02:00,4861,717,19,0.147501,0.026499,auto headless Playwright
2026-08-12T01:00:00+02:00,2026-08-12,01:00,2026-08-12T00:50:04+02:00,2026-08-11T23:50:03+02:00,2026-08-12T00:50:04+02:00,4861,717,19,0.147501,0.026499,auto headless Playwright
2026-08-12T02:00:00+02:00,2026-08-12,02:00,2026-08-12T01:50:03+02:00,2026-08-12T00:50:04+02:00,2026-08-12T01:50:03+02:00,4861,717,19,0.147501,0.026499,auto headless Playwright
2026-08-12T03:00:00+02:00,2026-08-12,03:00,2026-08-12T02:50:05+02:00,2026-08-12T01:50:03+02:00,2026-08-12T02:50:05+02:00,4861,717,19,0.147501,0.026499,auto headless Playwright
2026-08-12T04:00:00+02:00,2026-08-12,04:00,2026-08-12T03:50:01+02:00,2026-08-12T02:50:05+02:00,2026-08-12T03:50:01+02:00,4861,717,19,0.147501,0.026499,auto headless Playwright
